"0","#Manual Entering for PlayerIDs that did not merge:"
"0","DraftData$STL[374] <- 189"
"0","DraftData$BLK[374] <- 75"
"0","DraftData$TOV[374] <- 370"
"0",""
"0","DraftData$STL[234] <- 25"
"0","DraftData$BLK[234] <- 35"
"0","DraftData$TOV[234] <- 68"
"0",""
"0","DraftData$STL[272] <- 17"
"0","DraftData$BLK[272] <- 64"
"0","DraftData$TOV[272] <- 40"
"0",""
"0","DraftData$STL[383] <- 404"
"0","DraftData$BLK[383] <- 100"
"0","DraftData$TOV[383] <- 742"
"0",""
"0","DraftData$STL[402] <- 73"
"0","DraftData$BLK[402] <- 107"
"0","DraftData$TOV[402] <- 277"
"0",""
"0","DraftData$STL[458] <- 974"
"0","DraftData$BLK[458] <- 204"
"0","DraftData$TOV[458] <- 1315"
"0",""
"0","DraftData$STL[482] <- 4"
"0","DraftData$BLK[482] <- 13"
"0","DraftData$TOV[482] <- 26"
"0",""
"0","DraftData$STL[519] <- 601"
"0","DraftData$BLK[519] <- 254"
"0","DraftData$TOV[519] <- 724"
"0",""
"0","DraftData$STL[576] <- 943"
"0","DraftData$BLK[576] <- 263"
"0","DraftData$TOV[576] <- 816"
"0",""
"0","DraftData$STL[629] <- 1"
"0","DraftData$BLK[629] <- 1"
"0","DraftData$TOV[629] <- 3"
"0",""
"0","DraftData$STL[640] <- 12"
"0","DraftData$BLK[640] <- 6"
"0","DraftData$TOV[640] <- 11"
"0",""
"0","DraftData$STL[659] <- 274"
"0","DraftData$BLK[659] <- 309"
"0","DraftData$TOV[659] <- 774"
"0",""
"0","DraftData$STL[669] <- 39"
"0","DraftData$BLK[669] <- 57"
"0","DraftData$TOV[669] <- 65"
"0",""
"0","DraftData$STL[738] <- 125"
"0","DraftData$BLK[738] <- 9"
"0","DraftData$TOV[738] <- 229"
"0",""
"0","DraftData$STL[790] <- 2"
"0","DraftData$BLK[790] <- 9"
"0","DraftData$TOV[790] <- 6"
"0",""
"0","DraftData$STL[795] <- 296"
"0","DraftData$BLK[795] <- 393"
"0","DraftData$TOV[795] <- 1076"
"0",""
"0","DraftData$STL[874] <- 36"
"0","DraftData$BLK[874] <- 33"
"0","DraftData$TOV[874] <- 60"
"0",""
"0","DraftData$STL[936] <- 6"
"0","DraftData$BLK[936] <- 1"
"0","DraftData$TOV[936] <- 11"
"0",""
"0","DraftData$STL[979] <- 53"
"0","DraftData$BLK[979] <- 24"
"0","DraftData$TOV[979] <- 63"
"0",""
"0","DraftData$STL[981] <- 15"
"0","DraftData$BLK[981] <- 4"
"0","DraftData$TOV[981] <- 18"
"0",""
"0","DraftData$STL[985] <- 70"
"0","DraftData$BLK[985] <- 94"
"0","DraftData$TOV[985] <- 151"
"0",""
"0","DraftData$STL[989] <- 32"
"0","DraftData$BLK[989] <- 19"
"0","DraftData$TOV[989] <- 77"
"0",""
"0","DraftData$STL[1003] <- 46"
"0","DraftData$BLK[1003] <- 7"
"0","DraftData$TOV[1003] <- 176"
"0",""
"0","DraftData$STL[1034] <- 18"
"0","DraftData$BLK[1034] <- 4"
"0","DraftData$TOV[1034] <- 13"
"0",""
"0","DraftData$STL[683] <- 0"
"0","DraftData$BLK[683] <- 1"
"0","DraftData$TOV[683] <- 1"
"0",""
"0",""
